,0
0,-34.0
1,-33.979147500766636
2,-33.95829500153327
3,-33.93744250229991
4,-33.916590003066545
5,-33.89573750383318
6,-33.87488500459982
7,-33.854032505366455
8,-33.83318000613309
9,-33.81232750689973
10,-33.79147500766636
11,-33.77062250843299
12,-33.74977000919963
13,-33.728917509966266
14,-33.7080650107329
15,-33.68721251149954
16,-33.666360012266175
17,-33.64550751303281
18,-33.62465501379945
19,-33.603802514566084
20,-33.58295001533272
21,-33.56209751609936
22,-33.54124501686599
23,-33.52039251763263
24,-33.499540018399266
25,-33.4786875191659
26,-33.45783501993254
27,-33.436982520699175
28,-33.41613002146581
29,-33.39527752223245
30,-33.37442502299908
31,-33.35357252376571
32,-33.33272002453235
33,-33.311867525298986
34,-33.29101502606562
35,-33.27016252683226
36,-33.249310027598895
37,-33.22845752836553
38,-33.20760502913217
39,-33.186752529898804
40,-33.16590003066544
41,-33.14504753143208
42,-33.12419503219871
43,-33.10334253296535
44,-33.082490033731986
45,-33.06163753449862
46,-33.04078503526526
47,-33.019932536031895
48,-32.99908003679853
49,-32.97822753756516
50,-32.9573750383318
51,-32.93652253909843
52,-32.91567003986507
53,-32.894817540631706
54,-32.87396504139834
55,-32.85311254216498
56,-32.832260042931615
57,-32.81140754369825
58,-32.79055504446489
59,-32.769702545231524
60,-32.74885004599816
61,-32.7279975467648
62,-32.707145047531434
63,-32.68629254829807
64,-32.665440049064706
65,-32.64458754983134
66,-32.62373505059798
67,-32.602882551364615
68,-32.582030052131245
69,-32.56117755289788
70,-32.54032505366452
71,-32.519472554431154
72,-32.49862005519779
73,-32.47776755596443
74,-32.45691505673106
75,-32.4360625574977
76,-32.415210058264336
77,-32.39435755903097
78,-32.37350505979761
79,-32.352652560564245
80,-32.33180006133088
81,-32.31094756209752
82,-32.290095062864154
83,-32.26924256363079
84,-32.24839006439743
85,-32.22753756516406
86,-32.2066850659307
87,-32.18583256669733
88,-32.164980067463965
89,-32.1441275682306
90,-32.12327506899724
91,-32.102422569763874
92,-32.08157007053051
93,-32.06071757129715
94,-32.03986507206378
95,-32.01901257283042
96,-31.998160073597056
97,-31.977307574363692
98,-31.95645507513033
99,-31.935602575896965
100,-31.9147500766636
101,-31.893897577430238
102,-31.873045078196874
103,-31.852192578963507
104,-31.831340079730143
105,-31.81048758049678
106,-31.789635081263416
107,-31.768782582030052
108,-31.74793008279669
109,-31.727077583563325
110,-31.70622508432996
111,-31.685372585096594
112,-31.66452008586323
113,-31.643667586629867
114,-31.622815087396503
115,-31.60196258816314
116,-31.581110088929776
117,-31.560257589696413
118,-31.53940509046305
119,-31.518552591229685
120,-31.49770009199632
121,-31.476847592762958
122,-31.45599509352959
123,-31.435142594296227
124,-31.414290095062864
125,-31.3934375958295
126,-31.372585096596136
127,-31.351732597362773
128,-31.33088009812941
129,-31.310027598896045
130,-31.28917509966268
131,-31.268322600429315
132,-31.24747010119595
133,-31.226617601962587
134,-31.205765102729224
135,-31.18491260349586
136,-31.164060104262497
137,-31.143207605029133
138,-31.12235510579577
139,-31.101502606562406
140,-31.080650107329042
141,-31.059797608095675
142,-31.03894510886231
143,-31.018092609628948
144,-30.997240110395584
145,-30.97638761116222
146,-30.955535111928857
147,-30.934682612695493
148,-30.91383011346213
149,-30.892977614228766
150,-30.8721251149954
151,-30.851272615762035
152,-30.83042011652867
153,-30.809567617295308
154,-30.788715118061944
155,-30.76786261882858
156,-30.747010119595217
157,-30.726157620361853
158,-30.70530512112849
159,-30.684452621895126
160,-30.663600122661762
161,-30.642747623428395
162,-30.62189512419503
163,-30.601042624961668
164,-30.580190125728304
165,-30.55933762649494
166,-30.538485127261577
167,-30.517632628028213
168,-30.49678012879485
169,-30.475927629561482
170,-30.45507513032812
171,-30.434222631094755
172,-30.41337013186139
173,-30.392517632628028
174,-30.371665133394664
175,-30.3508126341613
176,-30.329960134927937
177,-30.309107635694573
178,-30.28825513646121
179,-30.267402637227846
180,-30.24655013799448
181,-30.225697638761115
182,-30.20484513952775
183,-30.183992640294388
184,-30.163140141061024
185,-30.14228764182766
186,-30.121435142594297
187,-30.100582643360934
188,-30.079730144127566
189,-30.058877644894203
190,-30.03802514566084
191,-30.017172646427476
192,-29.996320147194112
193,-29.97546764796075
194,-29.954615148727385
195,-29.93376264949402
196,-29.912910150260657
197,-29.892057651027294
198,-29.87120515179393
199,-29.850352652560566
200,-29.8295001533272
201,-29.808647654093836
202,-29.787795154860472
203,-29.76694265562711
204,-29.746090156393745
205,-29.72523765716038
206,-29.704385157927018
207,-29.68353265869365
208,-29.662680159460287
209,-29.641827660226923
210,-29.62097516099356
211,-29.600122661760196
