Lambda,z_weight,Training,pred
100,0.9,0.0867,0.043
75,1,0.0873,0.0456
100,1,0.0871,0.049
75,0.9,0.0893,0.0529
75,0.5,0.0897,0.0552
50,1,0.0906,0.0558
100,0.7,0.0906,0.0581
50,0.9,0.0913,0.0584
50,0.7,0.0904,0.0611
75,0.7,0.0893,0.0623
100,0.3,0.0916,0.0662
30,1,0.0966,0.0672
100,0.5,0.0884,0.0691
50,0.5,0.0942,0.0694
30,0.9,0.0966,0.0699
30,0.7,0.0974,0.0724
50,0.3,0.1031,0.0736
20,0.9,0.1017,0.0738
75,0.3,0.1005,0.0758
15,1,0.1088,0.0763
10,1,0.1023,0.0766
30,0.5,0.105,0.0767
15,0.9,0.1099,0.0772
20,0.7,0.1063,0.0782
15,0.7,0.1056,0.08
10,0.9,0.1052,0.0806
20,1,0.1044,0.083
20,0.5,0.1097,0.0856
100,0.1,0.1056,0.0869
10,0.7,0.1149,0.0895
15,0.5,0.1152,0.09
30,0.3,0.1146,0.0951
75,0.1,0.111,0.0993
20,0.3,0.1202,0.1055
5,1,0.1236,0.1059
10,0.5,0.1262,0.1086
5,0.9,0.127,0.1125
30,0.1,0.1193,0.1132
50,0.1,0.107,0.115
15,0.3,0.1252,0.1152
10,0.1,0.122,0.1183
5,0.1,0.1188,0.1186
20,0.1,0.1206,0.1194
15,0.1,0.1211,0.1203
5,0.3,0.1219,0.1205
10,0.3,0.1302,0.1248
5,0.5,0.1297,0.1283
5,0.7,0.1238,0.1332
