ID,Lambda,z_weight,train,pred
1,75,0.5,0.9597,0.9248
2,100,0.7,0.9547,0.9212
3,75,0.9,0.9571,0.9198
4,75,0.7,0.9547,0.9185
5,10,1,0.9511,0.9163
6,20,0.9,0.9513,0.9154
7,100,0.3,0.9588,0.9152
8,50,0.3,0.9538,0.9151
9,30,0.9,0.9546,0.9139
10,10,0.9,0.9485,0.9132
11,15,0.7,0.949,0.9129
12,30,0.5,0.9534,0.9111
13,50,0.5,0.9532,0.9095
14,20,0.7,0.9521,0.9094
15,20,0.5,0.9477,0.909
16,100,0.5,0.9502,0.9086
17,30,0.7,0.9536,0.9084
18,15,1,0.945,0.9083
19,10,0.7,0.9447,0.9072
20,15,0.9,0.9468,0.9071
21,15,0.5,0.9439,0.9065
22,100,0.1,0.9458,0.9061
23,75,0.3,0.9416,0.9035
24,30,0.3,0.9455,0.9032
25,20,1,0.9427,0.9024
26,75,0.1,0.9459,0.9023
27,20,0.3,0.9411,0.8989
28,5,1,0.9399,0.8983
29,10,0.5,0.9387,0.8974
30,15,0.3,0.9391,0.8969
31,30,0.1,0.9415,0.8959
32,5,0.9,0.9381,0.8958
33,50,0.1,0.9439,0.8931
34,20,0.1,0.9389,0.891
35,5,0.7,0.9349,0.8905
36,15,0.1,0.9379,0.8904
37,10,0.3,0.9353,0.8898
38,10,0.1,0.9361,0.8895
39,5,0.3,0.936,0.8886
40,5,0.1,0.9387,0.8876
41,5,0.5,0.9335,0.8874
42,75,1,0.9019,0.8744
43,50,0.7,0.8911,0.8636
44,100,0.9,0.8899,0.8625
45,30,1,0.8899,0.8614
46,50,0.9,0.8856,0.8611
47,50,1,0.8861,0.858
48,100,1,0.8362,0.8306
