ID,Lambda,z_weight,train,pred
1,100,0.9,0.0867,0.043
2,75,1,0.0873,0.0456
3,100,1,0.0871,0.049
4,75,0.9,0.0893,0.0529
5,75,0.5,0.0897,0.0552
6,50,1,0.0906,0.0558
7,65,1,0.0867,0.0574
8,100,0.7,0.0906,0.0581
9,50,0.9,0.0913,0.0584
10,85,0.7,0.0852,0.0585
11,85,0.5,0.0904,0.061
12,50,0.7,0.0904,0.0611
13,85,1,0.0845,0.0618
14,75,0.7,0.0893,0.0623
15,65,0.9,0.0881,0.0624
16,65,0.7,0.0869,0.0635
17,85,0.9,0.0871,0.065
18,100,0.3,0.0916,0.0662
19,30,1,0.0966,0.0672
20,65,0.5,0.0963,0.0677
21,100,0.5,0.0884,0.0691
22,85,0.3,0.0908,0.0693
23,50,0.5,0.0942,0.0694
24,30,0.9,0.0966,0.0699
25,30,0.7,0.0974,0.0724
26,50,0.3,0.1031,0.0736
27,20,0.9,0.1017,0.0738
28,75,0.3,0.1005,0.0758
29,15,1,0.1088,0.0763
30,10,1,0.1023,0.0766
31,30,0.5,0.105,0.0767
32,15,0.9,0.1099,0.0772
33,65,0.3,0.0957,0.0782
34,20,0.7,0.1063,0.0782
35,15,0.7,0.1056,0.08
36,10,0.9,0.1052,0.0806
37,20,1,0.1044,0.083
38,20,0.5,0.1097,0.0856
39,100,0.1,0.1056,0.0869
40,10,0.7,0.1149,0.0895
41,15,0.5,0.1152,0.09
42,30,0.3,0.1146,0.0951
43,85,0.1,0.1102,0.0991
44,75,0.1,0.111,0.0993
45,65,0.1,0.1154,0.1035
46,20,0.3,0.1202,0.1055
47,5,1,0.1236,0.1059
48,10,0.5,0.1262,0.1086
49,5,0.9,0.127,0.1125
50,30,0.1,0.1193,0.1132
51,50,0.1,0.107,0.115
52,15,0.3,0.1252,0.1152
53,10,0.1,0.122,0.1183
54,5,0.1,0.1188,0.1186
55,20,0.1,0.1206,0.1194
56,15,0.1,0.1211,0.1203
57,5,0.3,0.1219,0.1205
58,10,0.3,0.1302,0.1248
59,5,0.5,0.1297,0.1283
60,5,0.7,0.1238,0.1332
