ID,Lambda,z_weight,train,pred
1,100,0.1,0.949,0.9072
2,100,0.5,0.9591,0.9121
3,100,0.3,0.9637,0.9185
4,100,0.7,0.9593,0.9227
5,100,1,0.9649,0.9284
6,100,0.9,0.9635,0.9315
7,85,0.1,0.9487,0.901
8,85,0.3,0.9595,0.918
9,85,0.7,0.961,0.9193
10,85,0.5,0.9576,0.9197
11,85,0.9,0.9638,0.9202
12,85,1,0.9597,0.9222
13,75,0.1,0.9484,0.9016
14,75,0.3,0.9535,0.9092
15,75,0.7,0.9583,0.9186
16,75,0.9,0.9597,0.9213
17,75,1,0.9605,0.9255
18,75,0.5,0.9613,0.9265
19,65,0.1,0.9468,0.8993
20,65,0.3,0.9573,0.9138
21,65,0.7,0.9585,0.9147
22,65,0.5,0.9567,0.9156
23,65,0.9,0.9596,0.9163
24,65,1,0.9568,0.9205
25,50,0.1,0.9459,0.897
26,50,0.5,0.9615,0.9146
27,50,0.3,0.9555,0.9169
28,50,0.7,0.96,0.9201
29,50,1,0.9582,0.9222
30,50,0.9,0.9584,0.9236
31,30,0.1,0.9437,0.8942
32,30,0.3,0.9479,0.9033
33,30,0.5,0.9551,0.9116
34,30,0.7,0.9582,0.9134
35,30,0.9,0.9569,0.9151
36,30,1,0.9575,0.9169
37,20,0.1,0.9413,0.8902
38,20,0.3,0.9431,0.898
39,20,1,0.9492,0.9046
40,20,0.7,0.9534,0.91
41,20,0.9,0.9534,0.9103
42,20,0.5,0.9495,0.9105
43,15,0.1,0.9403,0.8887
44,15,0.3,0.9404,0.896
45,15,0.5,0.9457,0.9074
46,15,0.9,0.949,0.9083
47,15,1,0.948,0.9091
48,15,0.7,0.9524,0.9159
49,10,0.1,0.9385,0.888
50,10,0.3,0.9372,0.889
51,10,0.5,0.9402,0.8963
52,10,0.7,0.9462,0.9074
53,10,0.9,0.95,0.9144
54,10,1,0.953,0.9182
55,5,0.5,0.9357,0.8866
56,5,0.1,0.9387,0.8876
57,5,0.3,0.9383,0.888
58,5,0.7,0.9368,0.8893
59,5,0.9,0.9398,0.8953
60,5,1,0.9415,0.8984
